gene,avana
A1CF (29974),0.0
A2M (2),0.0
A2ML1 (144568),0.0
A3GALT2 (127550),0.0
A4GALT (53947),0.0
A4GNT (51146),0.0
AAAS (8086),0.0
AACS (65985),0.0
AADAC (13),0.0
AADACL2 (344752),0.0
AAMP (14),0.0
ABCE1 (6059),0.0
ABCG8 (64241),0.0
ABL1 (25),0.0
ACTL6A (86),0.0
ACTL7A (10881),0.0
ACTL8 (81569),0.0
ACTL9 (284382),0.0
ACTR8 (93973),0.0
ADAM18 (8749),0.0
ADAM20 (8748),0.0
ADGRG7 (84873),0.0
ADH1B (125),0.0
AFM (173),0.0
AHCY (191),0.0
AIPL1 (23746),0.0
AKT1 (207),0.0
ALG1 (56052),0.0
ALG2 (85365),0.0
ALK (238),0.0
ALPI (248),0.0
ANAPC10 (10393),0.0
ANAPC5 (51433),0.0
ANG (283),0.0
ANKRD26 (22852),0.0
ANKRD30A (91074),0.0
APOA4 (337),0.0
APOBR (55911),0.0
APOF (319),0.0
AQR (9716),0.0
ARGFX (503582),0.0
ARHGAP29 (9411),0.0
ARHGAP35 (2909),0.0
ARHGEF6 (9459),0.0
ARMC7 (79637),0.0
ARPC4 (10093),0.0
ASB17 (127247),0.0
ASZ1 (136991),0.0
ATL2 (64225),0.0
ATP4B (496),0.0
ATP6AP2 (10159),0.0
ATP6V1A (523),0.0
ATP8B2 (57198),0.0
ATR (545),0.0
AXL (558),0.0
B3GNT6 (192134),0.0
BARD1 (580),0.0
BARHL1 (56751),0.0
BCAS2 (10286),0.0
BCL2 (596),0.0
BCL6 (604),0.0
BDP1 (55814),0.0
BMP10 (27302),0.0
BMS1 (9790),0.0
BPIFA3 (128861),0.0
BPIFB6 (128859),0.0
BPTF (2186),0.0
BRAF (673),0.0
BRD8 (10902),0.0
BRDT (676),0.0
BTK (695),0.0
BUB1B (701),0.0
BYSL (705),0.0
C10orf53 (282966),0.0
C11orf71 (54494),0.0
C12orf40 (283461),0.0
C16orf89 (146556),0.0
C17orf78 (284099),0.0
C20orf173 (140873),0.0
C8A (731),0.0
CABP5 (56344),0.0
CACFD1 (11094),0.0
CACNG2 (10369),0.0
CACNG5 (27091),0.0
CAD (790),0.0
CAPN9 (10753),0.0
CBFA2T3 (863),0.0
CBLIF (2694),0.0
CCDC83 (220047),0.0
CCL1 (6346),0.0
CCNA2 (890),0.0
CCND1 (595),0.0
CCND2 (894),0.0
CCT2 (10576),0.0
CCT6A (908),0.0
CD1D (912),0.0
CD200R1L (344807),0.0
CDC20 (991),0.0
CDC45 (8318),0.0
CDC73 (79577),0.0
CDK1 (983),0.0
CDK4 (1019),0.0
CDX2 (1045),0.0
CEBPA (1050),0.0
CEBPZ (10153),0.0
CELA2A (63036),0.0
CELA3B (23436),0.0
CENPJ (55835),0.0
CENPW (387103),0.0
CEP57 (9702),0.0
CETN1 (1068),0.0
CFAP53 (220136),0.0
CFHR5 (81494),0.0
CHAF1A (10036),0.0
CHMP2A (27243),0.0
CHORDC1 (26973),0.0
CHRNA6 (8973),0.0
CLASRP (11129),0.0
CLCA1 (1179),0.0
CLEC2A (387836),0.0
CLEC6A (93978),0.0
CMPK1 (51727),0.0
CMTR1 (23070),0.0
CNBD1 (168975),0.0
CNPY1 (285888),0.0
COA5 (493753),0.0
COG4 (25839),0.0
COL20A1 (57642),0.0
COPB2 (9276),0.0
COPS3 (8533),0.0
COQ4 (51117),0.0
COX5B (1329),0.0
CPSF6 (11052),0.0
CRNN (49860),0.0
CRYBB2 (1415),0.0
CRYGB (1419),0.0
CSE1L (1434),0.0
CSF2RB (1439),0.0
CSHL1 (1444),0.0
CSN3 (1448),0.0
CST4 (1472),0.0
CST8 (10047),0.0
CST9L (128821),0.0
CSTF3 (1479),0.0
CTCFL (140690),0.0
CTNNB1 (1499),0.0
CTNNBL1 (56259),0.0
CTU2 (348180),0.0
CWF19L2 (143884),0.0
CYLC2 (1539),0.0
CYP11B2 (1585),0.0
CYP2A13 (1553),0.0
CYP4A22 (284541),0.0
DARS2 (55157),0.0
DAZL (1618),0.0
DCAF8L2 (347442),0.0
DCANP1 (140947),0.0
DCTN2 (10540),0.0
DDB1 (1642),0.0
DDR2 (4921),0.0
DDX21 (9188),0.0
DDX39B (7919),0.0
DDX4 (54514),0.0
DDX49 (54555),0.0
DDX56 (54606),0.0
DEFA6 (1671),0.0
DEFB118 (117285),0.0
DEFB126 (81623),0.0
DEFB129 (140881),0.0
DGCR8 (54487),0.0
DHX33 (56919),0.0
DHX8 (1659),0.0
DIS3 (22894),0.0
DMAP1 (55929),0.0
DMP1 (1758),0.0
DMRTB1 (63948),0.0
DNAJB1 (3337),0.0
DNAJC2 (27000),0.0
DNMT1 (1786),0.0
DPRX (503834),0.0
DR1 (1810),0.0
DRGX (644168),0.0
DSG4 (147409),0.0
DTX2 (113878),0.0
DYNC1H1 (1778),0.0
EBF1 (1879),0.0
ECD (11319),0.0
EEFSEC (60678),0.0
EFCAB3 (146779),0.0
EFEMP1 (2202),0.0
EGFR (1956),0.0
EIF1AD (84285),0.0
EIF2B4 (8890),0.0
EIF3A (8661),0.0
EIF3J (8669),0.0
EIF4E (1977),0.0
EIF6 (3692),0.0
ELOA2 (51224),0.0
ELP4 (26610),0.0
ENO1 (2023),0.0
ERBB2 (2064),0.0
ERBB3 (2065),0.0
ERBB4 (2066),0.0
ERCC4 (2072),0.0
ESR1 (2099),0.0
ESRP2 (80004),0.0
EVX1 (2128),0.0
EXOC1 (55763),0.0
EXOSC1 (51013),0.0
EXOSC5 (56915),0.0
FABP2 (2169),0.0
FAM210A (125228),0.0
FARSB (10056),0.0
FBRSL1 (57666),0.0
FBXL13 (222235),0.0
FCRL4 (83417),0.0
FEN1 (2237),0.0
FERMT1 (55612),0.0
FEZF2 (55079),0.0
FGF3 (2248),0.0
FGF6 (2251),0.0
FGFR1 (2260),0.0
FGFR2 (2263),0.0
FGFR3 (2261),0.0
FLG2 (388698),0.0
FLI1 (2313),0.0
FLT3 (2322),0.0
FNDC9 (408263),0.0
FNTB (2342),0.0
FOXA1 (3169),0.0
FOXB2 (442425),0.0
FOXE3 (2301),0.0
FOXL2 (668),0.0
FOXR1 (283150),0.0
FOXR2 (139628),0.0
FRAT1 (10023),0.0
FRZB (2487),0.0
FSCB (84075),0.0
FUNDC2 (65991),0.0
FUT9 (10690),0.0
FZD8 (8325),0.0
GABRA1 (2554),0.0
GALNTL5 (168391),0.0
GALR3 (8484),0.0
GAPDH (2597),0.0
GATA1 (2623),0.0
GATA2 (2624),0.0
GATA3 (2625),0.0
GATC (283459),0.0
GCG (2641),0.0
GDF2 (2658),0.0
GEMIN8 (54960),0.0
GFM1 (85476),0.0
GFRAL (389400),0.0
GHRH (2691),0.0
GINS3 (64785),0.0
GJA10 (84694),0.0
GJB2 (2706),0.0
GK2 (2712),0.0
GLRA1 (2741),0.0
GML (2765),0.0
GNA11 (2767),0.0
GNAI2 (2771),0.0
GNAQ (2776),0.0
GNAS (2778),0.0
GNB1L (54584),0.0
GNS (2799),0.0
GON4L (54856),0.0
GPN1 (11321),0.0
GPR139 (124274),0.0
GPR151 (134391),0.0
GPR26 (2849),0.0
GPR32 (2854),0.0
GPR52 (9293),0.0
GPRC6A (222545),0.0
GPX6 (257202),0.0
GRHL2 (79977),0.0
GRIN2B (2904),0.0
GRM5 (2915),0.0
GRPEL1 (80273),0.0
GSC2 (2928),0.0
GSX1 (219409),0.0
GTF2A2 (2958),0.0
GTF3C1 (2975),0.0
GTPBP4 (23560),0.0
GUCA2A (2980),0.0
H2AC1 (221613),0.0
H4C7 (8369),0.0
HAUS1 (115106),0.0
HAUS7 (55559),0.0
HCRTR2 (3062),0.0
HEATR1 (55127),0.0
HERC1 (8925),0.0
HERC6 (55008),0.0
HMGCS1 (3157),0.0
HMX1 (3166),0.0
HNF1B (6928),0.0
HNF4A (3172),0.0
HNRNPH1 (3187),0.0
HNRNPL (3191),0.0
HOXB13 (10481),0.0
HOXD12 (3238),0.0
HRAS (3265),0.0
HRH3 (11255),0.0
HSD17B10 (3028),0.0
HSPA9 (3313),0.0
HTR1A (3350),0.0
HTR3D (200909),0.0
HTR5A (3361),0.0
IAPP (3375),0.0
IARS1 (3376),0.0
IDH1 (3417),0.0
IFNA10 (3446),0.0
IFNA16 (3449),0.0
IFNA2 (3440),0.0
IFNA4 (3441),0.0
IFNA6 (3443),0.0
IFNA8 (3445),0.0
IFNK (56832),0.0
IGBP1 (3476),0.0
IL12B (3593),0.0
IL17A (3605),0.0
IL1F10 (84639),0.0
IL22 (50616),0.0
IL26 (55801),0.0
IL31 (386653),0.0
IL36B (27177),0.0
IL9 (3578),0.0
IMP4 (92856),0.0
INHBC (3626),0.0
INSL5 (10022),0.0
INSM2 (84684),0.0
INTS3 (65123),0.0
IP6K2 (51447),0.0
IPO11 (51194),0.0
IQCF1 (132141),0.0
IRF2BP2 (359948),0.0
IRF4 (3662),0.0
IRF8 (3394),0.0
ISG20L2 (81875),0.0
ISX (91464),0.0
JAK2 (3717),0.0
JAK3 (3718),0.0
JUN (3725),0.0
JUP (3728),0.0
