sequence_ID,avana
HEL-311Cas9_RepA_p4_Avana-3,0.040249147155662315
HEL-311Cas9_RepB_p4_Avana-3,0.04198990940811591
KU812-311cas9-RepA-p6_Avana-3,0.165137758382397
KU812-311cas9-RepB-p6_Avana-3,0.12208942253224257
T47D-311Cas9-RepA-p6_Avana-4,0.013688393201179408
T47D-311Cas9-RepB-p6_Avana-4,0.01279502059543332
NOMO-1-311Cas9_RepA_p4_Avana-2,0.05701623587237618
NOMO-1-311Cas9_RepB_p4_Avana-2,0.06221137578440374
L363-311Cas9_RepA_p6_Avana-3,0.15838086583010463
L363-311Cas9_RepB_p6_Avana-3,0.1103609603512517
KASUMI-1-311cas9_RepA_p6_Avana-3,0.0212005763468609
KASUMI-1-311cas9_RepB_p6_Avana-3,0.016958850085306842
NCI-H841-311as9_RepA_p6_Avana-3,0.030592089539376328
NCI-H841-311as9_RepB_p6_Avana-3,0.030154437586259342
DB-311Cas9_RepA_p3_Avana-3,0.022285628651347478
DB-311Cas9_RepB_p3_Avana-3,0.022678265631587497
J82-311Cas9_RepA_p5_Avana-3,0.021955998182227012
J82-311Cas9_RepB_p5_Avana-3,0.022409876053340064
K029AX-311cas9_RepB_p6_Avana-3,0.030979588049564768
U937-101Cas9 Rep A p6_Avana-3,0.008927498890015218
U937-101Cas9 Rep C p6_Avana-3,0.013002938514465249
U937-101Cas9 Rep D p6_Avana-3,0.012394232552568876
NCI-H1915-311Cas9_RepA_p6_Avana-3,0.06941745235128545
NCI-H1915-311Cas9_RepB_p6_Avana-3,0.07839086010283489
CJM-311Cas9_RepA_p7_Avana-3,0.02214391966165477
CJM-311Cas9_RepB_p7_Avana-3,0.019618100457572986
KNS-81-311cas9_RepA_p5_Avana-3,0.05219156627344461
KNS-81-311cas9_RepB_p5_Avana-3,0.04344742589204721
OVISE-311cas9 Rep A p6_Avana-2,0.049130414918704346
OVISE-311cas9 Rep B p6_Avana-2,0.045981980209728844
OVISE-311cas9 Rep C p6_Avana-2,0.05474676047388392
TE6-311cas9_RepA_p6_Avana-3,0.014328622337420188
TE6-311cas9_RepB_p6_Avana-3,0.018522237511887044
RVH421-311Cas9_RepA_p5_Avana-3,0.04553324331643223
RVH421-311Cas9_RepB_p5_Avana-3,0.04579754853512648
A2780-311cas9 Rep A p6_Avana-2,0.0971859605891494
A2780-311cas9 Rep B p6_Avana-2,0.12399059032472601
LOXIMVI-311Cas9_RepA_p6_Avana-2,0.02057262833349332
LOXIMVI-311Cas9_RepB_p6_Avana-2,0.021575042928889364
RERF-LC-Ad2-311cas9_RepA_p6_Avana-3,0.032941801121427326
RERF-LC-Ad2-311cas9_RepB_p6_Avana-3,0.03645825168028374
LXF-289-311cas9 Rep B p6_Avana-3,0.03138525432087967
