sequence_ID,avana,ky
A2058-311cas9_RepA_p6_Avana-3,0.03434887723065022,
A2058-311cas9_RepB_p6_Avana-3,0.03150620804208823,
A2058_c903R1_KY-2,,0.026704230236662307
A2058_c903R2_KY-2,,0.03509177574081675
A2058_c903R3_KY-2,,0.02886890177856547
A2780-311cas9 Rep A p6_Avana-2,0.09855176375378148,
A2780-311cas9 Rep B p6_Avana-2,0.12548255868818717,
A2780_c905R1_KY-1,,1.5247263387543675
A2780_c905R2_KY-1,,0.6600860771310336
CJM-311Cas9_RepA_p7_Avana-3,0.022905647192462218,
CJM-311Cas9_RepB_p7_Avana-3,0.0203676400416682,
DB-311Cas9_RepA_p3_Avana-3,0.023065468347291854,
DB-311Cas9_RepB_p3_Avana-3,0.023499997459973988,
ESS1_C908R2_KY-1,,0.09353377546317238
ESS1_C908R3_KY-1,,0.12472715331749981
H1915_c906R1_KY-1,,0.08443853835477891
H1915_c906R2_KY-1,,0.06529614611852434
H1915_c906R3_KY-1,,0.0763623194303903
H2087_c906R1_KY-1,,0.04576503433912955
H2087_c906R2_KY-1,,0.04390775139372881
H2087_c906R3_KY-1,,0.041672072567593116
HB11;19-311CAS9_RepA_p6_Avana-3,0.03843706627816668,
HB11;19-311CAS9_RepB_p6_Avana-3,0.04186630808980936,
HCC299_c903R1_KY-2,,0.08207130469629993
HCC299_c903R2_KY-2,,0.10664187498241168
HCC299_c903R3_KY-2,,0.10739135200473784
HEC-251-311Cas9_RepA_p5_Avana-3,0.033972307181335565,
HEC-251-311Cas9_RepB_p5_Avana-3,0.038732354175854584,
HEC1_c907R1_KY-1,,0.05860059681767993
HEC1_c907R2_KY-1,,0.055683002795531795
HEC1_c907R3_KY-1,,0.06600703094759958
HEC265-311Cas9_RepA_p6_Avana-3,0.07471496467173874,
HEC265-311Cas9_RepB_p6_Avana-3,0.07889927931686865,
HEL-311Cas9_RepA_p4_Avana-3,0.041087264035503286,
HEL-311Cas9_RepB_p4_Avana-3,0.04288636572308073,
ICC108-311cas9-RepA-p4_Avana-3,0.08785606217152478,
ICC108-311cas9-RepB-p4_Avana-3,0.08974544520493431,
ICC2-311cas9_RepA_p6_Avana-3,0.03283571261659879,
ICC2-311cas9_RepB_p6_Avana-3,0.043282393266223844,
ICC3-311cas9_RepA_p6_Avana-3,90.1265968675837,
ICC3-311cas9_RepB_p6_Avana-3,148.61552921028786,
J82-311Cas9_RepA_p5_Avana-3,0.022786811887050475,
J82-311Cas9_RepB_p5_Avana-3,0.02325990580514958,
JHUEM7-311Cas9_RepA_p5_Avana-3,0.057640036583676245,
JHUEM7-311Cas9_RepB_p5_Avana-3,0.04923561614529537,
K029AX-311cas9_RepB_p6_Avana-3,0.0317158760360825,
KARPAS1718-311cas9-RepA-p6_Avana-4,0.018799724530314362,
KARPAS1718-311cas9-RepB-p6_Avana-4,0.022187326149628955,
KASUMI-1-311cas9_RepA_p6_Avana-3,0.022039681277333016,
KASUMI-1-311cas9_RepB_p6_Avana-3,0.01775672429156851,
KM12_c908R1_100_KY-1,,0.0613886928457986
KM12_c908R2_100_KY-1,,0.07134596107560146
KM12_c908R3_100_KY-1,,0.06022500763366279
KMS11_c907R1_KY-1,,0.04641926065883933
KMS11_c907R2_KY-1,,0.04463131572547696
KMS11_c907R3_KY-1,,0.06977445376497199
KNS-81-311cas9_RepA_p5_Avana-3,0.05298373956145892,
KNS-81-311cas9_RepB_p5_Avana-3,0.04421774817929965,
KU812-311cas9-RepA-p6_Avana-3,0.1813191250393456,
KU812-311cas9-RepB-p6_Avana-3,0.13609708889041025,
KYSE15_c907R1_KY-1,,0.08675887567064249
KYSE15_c907R2_KY-1,,0.07627108244650921
KYSE15_c907R3_KY-1,,0.08326009622162657
KYSE70_c907R1_KY-1,,0.05175924285550567
KYSE70_c907R2_KY-1,,0.07622606486142094
KYSE70_c907R3_KY-1,,0.05143766201900162
L363-311Cas9_RepA_p6_Avana-3,0.15921175053603692,
L363-311Cas9_RepB_p6_Avana-3,0.12081609686793032,
L363_c907R4_KY-1,,0.9712739081965616
L363_c907R5_KY-1,,1.4326716912449116
L363_c907R6_KY-1,,2.657700652520061
LB771H_c908R1_KY-1,,0.05575070733845408
LB771H_c908R2_KY-1,,0.186600754027971
LB771H_c908R3_KY-1,,0.037805028868057616
LOXIMVI-311Cas9_RepA_p6_Avana-2,0.021463893416569957,
LOXIMVI-311Cas9_RepB_p6_Avana-2,0.022455807510761327,
LXF-289-311cas9 Rep B p6_Avana-3,0.03214893402973898,
LXF-289-311cas9 Rep C p6_Avana-3,0.053778594426631916,
LXF-289-311cas9 Rep D p6_Avana-3,0.030977443663863347,
LXF289_c906R1_KY-1,,0.07625446095620822
LXF289_c906R2_KY-1,,0.08407380912466769
LXF289_c906R3_KY-1,,0.06635283081169258
MDST8-311Cas9 Rep A p6_Avana-3,0.04971470197619549,
MDST8-311Cas9 Rep C p6_Avana-3,0.04138205290628425,
MDST8-311Cas9 Rep D p6_Avana-3,0.0502994441394269,
MDST8_c903R3_KY-2,,0.15109686215104773
MEL202-311cas9_RepA_p6_Avana-3,0.01049162101700691,
MEL202-311cas9_RepB_p6_Avana-3,0.0393482378698784,
MFE-319-311Cas9_RepA_p6_Avana-3,0.01896106085800077,
MFE-319-311Cas9_RepB_p6_Avana-3,0.018877661774636918,
MFE280_C908R1_KY-1,,0.03982050771525524
MFE280_C908R2_KY-1,,0.04127199150687172
MFE280_C908R3_KY-1,,0.044240726594777464
MM127-311cas9_RepA_p5_Avana-3,0.0469561512272457,
MM127-311cas9_RepB_p5_Avana-3,0.09043597772813378,
MONO-MAC1-311cas9_RepA_p6_Avana-3,0.019369887275159012,
MONO-MAC1-311cas9_RepB_p6_Avana-3,0.017815241673174633,
NB1643-311Cas9_RepA_p4_Avana-3,0.031610965178757736,
NB1643-311Cas9_RepB_p4_Avana-3,0.03997807135156855,
NCI-H1915-311Cas9_RepA_p6_Avana-3,0.07011929937392769,
NCI-H1915-311Cas9_RepB_p6_Avana-3,0.07910764385711799,
NCI-H2286-311caa9_RepA_p6_Avana-3,0.05911697051222784,
NCI-H2286-311caa9_RepB_p6_Avana-3,0.05722157964039708,
NCI-H841-311as9_RepA_p6_Avana-3,0.031368428734297495,
NCI-H841-311as9_RepB_p6_Avana-3,0.030960616154711948,
NOMO-1-311Cas9_RepA_p4_Avana-2,0.05803363111871609,
NOMO-1-311Cas9_RepB_p4_Avana-2,0.06337133001415378,
OVISE-311cas9 Rep A p6_Avana-2,0.05005543676593106,
OVISE-311cas9 Rep B p6_Avana-2,0.04694739003455761,
OVISE-311cas9 Rep C p6_Avana-2,0.05573519189802128,
OVISE_c905R2_KY-1,,0.059983670118312515
OVISE_c905R3_KY-1,,0.06826838353529328
PF382-311CAS9_RepA_p6_Avana-3,0.08116287979357031,
PF382-311CAS9_RepB_p6_Avana-3,0.07508185264756685,
RAMOS-311cas9-RepA-p6_Avana-4,0.026817295273857986,
RAMOS-311cas9-RepB-p6_Avana-4,0.025441053348365213,
RCCFG2_C908R1_KY-1,,0.030638270637695284
RCCFG2_C908R2_KY-1,,0.02512299731641178
RCCFG2_C908R3_KY-1,,0.030884552473663028
RERF-LC-Ad2-311cas9_RepA_p6_Avana-3,0.03364679725336127,
RERF-LC-Ad2-311cas9_RepB_p6_Avana-3,0.03728281435854041,
RVH421-311Cas9_RepA_p5_Avana-3,0.046324596213916,
RVH421-311Cas9_RepB_p5_Avana-3,0.04665810517620164,
RVH421RPMI-311Cas9-RepA-p6_Avana-4,0.033186344008109624,
RVH421RPMI-311Cas9-RepB-p6_Avana-4,0.02792457225897631,
SAS-311cas9-RepA-p6_Avana-4,0.021429128399988825,
SAS-311cas9-RepB-p6_Avana-4,0.019808459679646426,
SAS_c907R1_KY-1,,0.07939053927345936
SAS_c907R2_KY-1,,0.1658201941157723
SAS_c907R3_KY-1,,0.1411032611008623
SKNSH_c906R1_KY-1,,5.401292803786178
SKNSH_c906R2_KY-1,,1.6061821997215568
SKNSH_c906R3_KY-1,,1.4917535410942606
SNU407-311Cas9_RepB_p6_Avana-4,0.022716812177036878,
SNU81_c903R1_KY-2,,0.1359932423327804
SNU81_c903R2_KY-2,,0.15055484019987508
SNU81_c903R3_KY-2,,0.1073133137299248
SW48_C902R1_P1D14_KY-2,,0.08368719012978777
SW48_C902R2_P1D14_KY-2,,0.0934073791266225
SW48_C902R3_P1D14_KY-2,,0.06463659363115808
T47D-311Cas9-RepA-p6_Avana-4,0.014551623686663578,
T47D-311Cas9-RepB-p6_Avana-4,0.013658251080917484,
T47d_c903R2_KY-2,,0.05300381176827247
T47d_c903R3_KY-2,,0.0620472182292029
TE6-311cas9_RepA_p6_Avana-3,0.01508645258574818,
TE6-311cas9_RepB_p6_Avana-3,0.019335431560014358,
TGW-311Cas9-RepA-P6_Avana-4,0.012838577273282784,
TGW-311Cas9-RepB-P6_Avana-4,0.01321113400887817,
U937-101Cas9 Rep A p6_Avana-3,0.00974259942645255,
U937-101Cas9 Rep C p6_Avana-3,0.013808485957186851,
U937-101Cas9 Rep D p6_Avana-3,0.013223168026046466,
UMUC5-311Cas9_RepA_p6_Avana-3,0.019493763155694475,
UMUC5-311Cas9_RepB_p6_Avana-3,0.015588274620933158,
UPMD1-311cas9-RepA-p6_Avana-4,0.02208889079629145,
UPMD1-311cas9-RepB-p6_Avana-4,0.022524183242878533,
