replicate_ID,library,replicate_efficacy
ACH-000004_Avana-3_HEL-311Cas9_RepA_p4_Avana-3,avana,0.8488946915251666
ACH-000004_Avana-3_HEL-311Cas9_RepB_p4_Avana-3,avana,0.8390818587788661
ACH-000074_Avana-3_KU812-311cas9-RepA-p6_Avana-3,avana,0.8001766911668566
ACH-000074_Avana-3_KU812-311cas9-RepB-p6_Avana-3,avana,0.7376706120186522
ACH-000147_Avana-4_T47D-311Cas9-RepA-p6_Avana-4,avana,0.9004044631904387
ACH-000147_Avana-4_T47D-311Cas9-RepB-p6_Avana-4,avana,0.8984149269616788
ACH-000168_Avana-2_NOMO-1-311Cas9_RepA_p4_Avana-2,avana,0.6069234088840022
ACH-000168_Avana-2_NOMO-1-311Cas9_RepB_p4_Avana-2,avana,0.6170927677157154
ACH-000183_Avana-3_L363-311Cas9_RepA_p6_Avana-3,avana,0.9663246118015805
ACH-000183_Avana-3_L363-311Cas9_RepB_p6_Avana-3,avana,0.9671236395989683
ACH-000263_Avana-3_KASUMI-1-311cas9_RepA_p6_Avana-3,avana,0.45143593439382834
ACH-000263_Avana-3_KASUMI-1-311cas9_RepB_p6_Avana-3,avana,0.4393932791415349
ACH-000292_Avana-3_NCI-H841-311as9_RepA_p6_Avana-3,avana,0.655240933777586
ACH-000292_Avana-3_NCI-H841-311as9_RepB_p6_Avana-3,avana,0.6426362529442966
ACH-000334_Avana-3_DB-311Cas9_RepA_p3_Avana-3,avana,0.5983079067436283
ACH-000334_Avana-3_DB-311Cas9_RepB_p3_Avana-3,avana,0.5797416623840452
ACH-000396_Avana-3_J82-311Cas9_RepA_p5_Avana-3,avana,0.2695697089566327
ACH-000396_Avana-3_J82-311Cas9_RepB_p5_Avana-3,avana,0.2557601035722512
ACH-000404_Avana-3_K029AX-311cas9_RepB_p6_Avana-3,avana,0.5912786311353457
ACH-000406_Avana-3_U937-101Cas9 Rep A p6_Avana-3,avana,0.8985374778152447
ACH-000406_Avana-3_U937-101Cas9 Rep C p6_Avana-3,avana,0.8964950517054902
ACH-000406_Avana-3_U937-101Cas9 Rep D p6_Avana-3,avana,0.9002492659070895
ACH-000434_Avana-3_NCI-H1915-311Cas9_RepA_p6_Avana-3,avana,0.8795378813012419
ACH-000434_Avana-3_NCI-H1915-311Cas9_RepB_p6_Avana-3,avana,0.8632209617425558
ACH-000458_Avana-3_CJM-311Cas9_RepA_p7_Avana-3,avana,0.6221254076266068
ACH-000458_Avana-3_CJM-311Cas9_RepB_p7_Avana-3,avana,0.6361729905167968
ACH-000479_Avana-3_KNS-81-311cas9_RepA_p5_Avana-3,avana,0.5331883341287286
ACH-000479_Avana-3_KNS-81-311cas9_RepB_p5_Avana-3,avana,0.5327459030629953
ACH-000527_Avana-2_OVISE-311cas9 Rep A p6_Avana-2,avana,0.903926884897662
ACH-000527_Avana-2_OVISE-311cas9 Rep B p6_Avana-2,avana,0.9071450653726141
ACH-000527_Avana-2_OVISE-311cas9 Rep C p6_Avana-2,avana,0.9326539233830956
ACH-000605_Avana-3_TE6-311cas9_RepA_p6_Avana-3,avana,0.7024526179351359
ACH-000605_Avana-3_TE6-311cas9_RepB_p6_Avana-3,avana,0.680914633344585
ACH-000614_Avana-3_RVH421-311Cas9_RepA_p5_Avana-3,avana,0.8872758368632627
ACH-000614_Avana-3_RVH421-311Cas9_RepB_p5_Avana-3,avana,0.8749365609605996
ACH-000657_Avana-2_A2780-311cas9 Rep A p6_Avana-2,avana,0.9035580071462972
ACH-000657_Avana-2_A2780-311cas9 Rep B p6_Avana-2,avana,0.9035655486688569
ACH-000750_Avana-2_LOXIMVI-311Cas9_RepA_p6_Avana-2,avana,0.09392953929539428
ACH-000750_Avana-2_LOXIMVI-311Cas9_RepB_p6_Avana-2,avana,0.06773524781515694
ACH-000774_Avana-3_RERF-LC-Ad2-311cas9_RepA_p6_Avana-3,avana,0.766066611228534
