sequence_ID,ScreenID,days,pDNA_batch,Replicate,ScreenType,cell_line_name,ModelConditionID,Library,PassesQC,replicate_ID
LOXIMVI-311Cas9_RepB_p6_Avana-2,SC-000750.AV01,21,Avana-2,B,2DS,ACH-000750,MC-000750-bafP,Avana,False,ACH-000750_Avana-2_LOXIMVI-311Cas9_RepB_p6_Avana-2
RERF-LC-Ad2-311cas9_RepA_p6_Avana-3,SC-000774.AV01,21,Avana-3,A,2DS,ACH-000774,MC-000774-GTYc,Avana,True,ACH-000774_Avana-3_RERF-LC-Ad2-311cas9_RepA_p6_Avana-3
RERF-LC-Ad2-311cas9_RepB_p6_Avana-3,SC-000774.AV01,21,Avana-3,B,2DS,ACH-000774,MC-000774-GTYc,Avana,True,ACH-000774_Avana-3_RERF-LC-Ad2-311cas9_RepB_p6_Avana-3
LXF-289-311cas9 Rep B p6_Avana-3,SC-000787.AV01,21,Avana-3,B,2DS,ACH-000787,MC-000787-yzmP,Avana,True,ACH-000787_Avana-3_LXF-289-311cas9 Rep B p6_Avana-3
LXF-289-311cas9 Rep C p6_Avana-3,SC-000787.AV01,21,Avana-3,C,2DS,ACH-000787,MC-000787-yzmP,Avana,True,ACH-000787_Avana-3_LXF-289-311cas9 Rep C p6_Avana-3
LXF-289-311cas9 Rep D p6_Avana-3,SC-000787.AV01,21,Avana-3,D,2DS,ACH-000787,MC-000787-yzmP,Avana,True,ACH-000787_Avana-3_LXF-289-311cas9 Rep D p6_Avana-3
A2058-311cas9_RepA_p6_Avana-3,SC-000788.AV01,21,Avana-3,A,2DS,ACH-000788,MC-000788-xvTl,Avana,True,ACH-000788_Avana-3_A2058-311cas9_RepA_p6_Avana-3
A2058-311cas9_RepB_p6_Avana-3,SC-000788.AV01,21,Avana-3,B,2DS,ACH-000788,MC-000788-xvTl,Avana,True,ACH-000788_Avana-3_A2058-311cas9_RepB_p6_Avana-3
NCI-H2286-311caa9_RepA_p6_Avana-3,SC-000912.AV01,21,Avana-3,A,2DS,ACH-000912,MC-000912-cLYP,Avana,True,ACH-000912_Avana-3_NCI-H2286-311caa9_RepA_p6_Avana-3
NCI-H2286-311caa9_RepB_p6_Avana-3,SC-000912.AV01,21,Avana-3,B,2DS,ACH-000912,MC-000912-cLYP,Avana,True,ACH-000912_Avana-3_NCI-H2286-311caa9_RepB_p6_Avana-3
MDST8-311Cas9 Rep A p6_Avana-3,SC-000935.AV01,21,Avana-3,A,2DS,ACH-000935,MC-000935-E55p,Avana,True,ACH-000935_Avana-3_MDST8-311Cas9 Rep A p6_Avana-3
MDST8-311Cas9 Rep C p6_Avana-3,SC-000935.AV01,21,Avana-3,C,2DS,ACH-000935,MC-000935-E55p,Avana,True,ACH-000935_Avana-3_MDST8-311Cas9 Rep C p6_Avana-3
MDST8-311Cas9 Rep D p6_Avana-3,SC-000935.AV01,21,Avana-3,D,2DS,ACH-000935,MC-000935-E55p,Avana,True,ACH-000935_Avana-3_MDST8-311Cas9 Rep D p6_Avana-3
PF382-311CAS9_RepA_p6_Avana-3,SC-000937.AV01,21,Avana-3,A,2DS,ACH-000937,MC-000937-QPMF,Avana,True,ACH-000937_Avana-3_PF382-311CAS9_RepA_p6_Avana-3
PF382-311CAS9_RepB_p6_Avana-3,SC-000937.AV01,21,Avana-3,B,2DS,ACH-000937,MC-000937-QPMF,Avana,True,ACH-000937_Avana-3_PF382-311CAS9_RepB_p6_Avana-3
HEC265-311Cas9_RepA_p6_Avana-3,SC-000946.AV01,21,Avana-3,A,2DS,ACH-000946,MC-000946-Imv7,Avana,True,ACH-000946_Avana-3_HEC265-311Cas9_RepA_p6_Avana-3
HEC265-311Cas9_RepB_p6_Avana-3,SC-000946.AV01,21,Avana-3,B,2DS,ACH-000946,MC-000946-Imv7,Avana,True,ACH-000946_Avana-3_HEC265-311Cas9_RepB_p6_Avana-3
SNU407-311Cas9_RepB_p6_Avana-4,SC-000955.AV01,21,Avana-4,B,2DS,ACH-000955,MC-000955-q7cl,Avana,False,ACH-000955_Avana-4_SNU407-311Cas9_RepB_p6_Avana-4
MFE-319-311Cas9_RepA_p6_Avana-3,SC-000988.AV01,21,Avana-3,A,2DS,ACH-000988,MC-000988-YnfA,Avana,True,ACH-000988_Avana-3_MFE-319-311Cas9_RepA_p6_Avana-3
MFE-319-311Cas9_RepB_p6_Avana-3,SC-000988.AV01,21,Avana-3,B,2DS,ACH-000988,MC-000988-YnfA,Avana,True,ACH-000988_Avana-3_MFE-319-311Cas9_RepB_p6_Avana-3
JHUEM7-311Cas9_RepA_p5_Avana-3,SC-000993.AV01,21,Avana-3,A,2DS,ACH-000993,MC-000993-g8KR,Avana,True,ACH-000993_Avana-3_JHUEM7-311Cas9_RepA_p5_Avana-3
JHUEM7-311Cas9_RepB_p5_Avana-3,SC-000993.AV01,21,Avana-3,B,2DS,ACH-000993,MC-000993-g8KR,Avana,True,ACH-000993_Avana-3_JHUEM7-311Cas9_RepB_p5_Avana-3
HEC-251-311Cas9_RepA_p5_Avana-3,SC-000996.AV01,21,Avana-3,A,2DS,ACH-000996,MC-000996-nXxW,Avana,True,ACH-000996_Avana-3_HEC-251-311Cas9_RepA_p5_Avana-3
HEC-251-311Cas9_RepB_p5_Avana-3,SC-000996.AV01,21,Avana-3,B,2DS,ACH-000996,MC-000996-nXxW,Avana,True,ACH-000996_Avana-3_HEC-251-311Cas9_RepB_p5_Avana-3
MONO-MAC1-311cas9_RepA_p6_Avana-3,SC-001129.AV01,21,Avana-3,A,2DS,ACH-001129,MC-001129-nxTf,Avana,True,ACH-001129_Avana-3_MONO-MAC1-311cas9_RepA_p6_Avana-3
MONO-MAC1-311cas9_RepB_p6_Avana-3,SC-001129.AV01,21,Avana-3,B,2DS,ACH-001129,MC-001129-nxTf,Avana,True,ACH-001129_Avana-3_MONO-MAC1-311cas9_RepB_p6_Avana-3
NB1643-311Cas9_RepA_p4_Avana-3,SC-001303.AV01,21,Avana-3,A,2DS,ACH-001303,MC-001303-7eBW,Avana,True,ACH-001303_Avana-3_NB1643-311Cas9_RepA_p4_Avana-3
NB1643-311Cas9_RepB_p4_Avana-3,SC-001303.AV01,21,Avana-3,B,2DS,ACH-001303,MC-001303-7eBW,Avana,True,ACH-001303_Avana-3_NB1643-311Cas9_RepB_p4_Avana-3
UMUC5-311Cas9_RepA_p6_Avana-3,SC-001411.AV01,21,Avana-3,A,2DS,ACH-001411,MC-001411-EIzh,Avana,True,ACH-001411_Avana-3_UMUC5-311Cas9_RepA_p6_Avana-3
UMUC5-311Cas9_RepB_p6_Avana-3,SC-001411.AV01,21,Avana-3,B,2DS,ACH-001411,MC-001411-EIzh,Avana,True,ACH-001411_Avana-3_UMUC5-311Cas9_RepB_p6_Avana-3
KARPAS1718-311cas9-RepA-p6_Avana-4,SC-001533.AV01,21,Avana-4,A,2DS,ACH-001533,MC-001533-SowA,Avana,True,ACH-001533_Avana-4_KARPAS1718-311cas9-RepA-p6_Avana-4
KARPAS1718-311cas9-RepB-p6_Avana-4,SC-001533.AV01,21,Avana-4,B,2DS,ACH-001533,MC-001533-SowA,Avana,True,ACH-001533_Avana-4_KARPAS1718-311cas9-RepB-p6_Avana-4
MEL202-311cas9_RepA_p6_Avana-3,SC-001554.AV01,21,Avana-3,A,2DS,ACH-001554,MC-001554-W5Vn,Avana,True,ACH-001554_Avana-3_MEL202-311cas9_RepA_p6_Avana-3
MEL202-311cas9_RepB_p6_Avana-3,SC-001554.AV01,21,Avana-3,B,2DS,ACH-001554,MC-001554-W5Vn,Avana,True,ACH-001554_Avana-3_MEL202-311cas9_RepB_p6_Avana-3
MM127-311cas9_RepA_p5_Avana-3,SC-001563.AV01,21,Avana-3,A,2DS,ACH-001563,MC-001563-W7yA,Avana,True,ACH-001563_Avana-3_MM127-311cas9_RepA_p5_Avana-3
MM127-311cas9_RepB_p5_Avana-3,SC-001563.AV01,21,Avana-3,B,2DS,ACH-001563,MC-001563-W7yA,Avana,True,ACH-001563_Avana-3_MM127-311cas9_RepB_p5_Avana-3
RAMOS-311cas9-RepA-p6_Avana-4,SC-001636.AV01,21,Avana-4,A,2DS,ACH-001636,MC-001636-mxpz,Avana,False,ACH-001636_Avana-4_RAMOS-311cas9-RepA-p6_Avana-4
RAMOS-311cas9-RepB-p6_Avana-4,SC-001636.AV01,21,Avana-4,B,2DS,ACH-001636,MC-001636-mxpz,Avana,False,ACH-001636_Avana-4_RAMOS-311cas9-RepB-p6_Avana-4
TGW-311Cas9-RepA-P6_Avana-4,SC-001674.AV01,21,Avana-4,A,2DS,ACH-001674,MC-001674-vHBi,Avana,True,ACH-001674_Avana-4_TGW-311Cas9-RepA-P6_Avana-4
TGW-311Cas9-RepB-P6_Avana-4,SC-001674.AV01,21,Avana-4,B,2DS,ACH-001674,MC-001674-vHBi,Avana,True,ACH-001674_Avana-4_TGW-311Cas9-RepB-P6_Avana-4
HB11;19-311CAS9_RepA_p6_Avana-3,SC-001736.AV01,21,Avana-3,A,2DS,ACH-001736,MC-001736-pJnl,Avana,True,ACH-001736_Avana-3_HB11;19-311CAS9_RepA_p6_Avana-3
HB11;19-311CAS9_RepB_p6_Avana-3,SC-001736.AV01,21,Avana-3,B,2DS,ACH-001736,MC-001736-pJnl,Avana,True,ACH-001736_Avana-3_HB11;19-311CAS9_RepB_p6_Avana-3
ICC108-311cas9-RepA-p4_Avana-3,SC-001836.AV01,21,Avana-3,A,2DS,ACH-001836,MC-001836-jYoz,Avana,True,ACH-001836_Avana-3_ICC108-311cas9-RepA-p4_Avana-3
ICC108-311cas9-RepB-p4_Avana-3,SC-001836.AV01,21,Avana-3,B,2DS,ACH-001836,MC-001836-jYoz,Avana,True,ACH-001836_Avana-3_ICC108-311cas9-RepB-p4_Avana-3
ICC2-311cas9_RepA_p6_Avana-3,SC-001842.AV01,21,Avana-3,A,2DS,ACH-001842,MC-001842-XQ3q,Avana,True,ACH-001842_Avana-3_ICC2-311cas9_RepA_p6_Avana-3
ICC2-311cas9_RepB_p6_Avana-3,SC-001842.AV01,21,Avana-3,B,2DS,ACH-001842,MC-001842-XQ3q,Avana,True,ACH-001842_Avana-3_ICC2-311cas9_RepB_p6_Avana-3
ICC3-311cas9_RepA_p6_Avana-3,SC-001843.AV01,21,Avana-3,A,2DS,ACH-001843,MC-001843-hmPS,Avana,True,ACH-001843_Avana-3_ICC3-311cas9_RepA_p6_Avana-3
ICC3-311cas9_RepB_p6_Avana-3,SC-001843.AV01,21,Avana-3,B,2DS,ACH-001843,MC-001843-hmPS,Avana,True,ACH-001843_Avana-3_ICC3-311cas9_RepB_p6_Avana-3
SAS-311cas9-RepA-p6_Avana-4,SC-002029.AV01,21,Avana-4,A,2DS,ACH-002029,MC-002029-jZk3,Avana,True,ACH-002029_Avana-4_SAS-311cas9-RepA-p6_Avana-4
SAS-311cas9-RepB-p6_Avana-4,SC-002029.AV01,21,Avana-4,B,2DS,ACH-002029,MC-002029-jZk3,Avana,True,ACH-002029_Avana-4_SAS-311cas9-RepB-p6_Avana-4
RVH421RPMI-311Cas9-RepA-p6_Avana-4,SC-002875.AV01,21,Avana-4,A,2DS,ACH-000614,MC-002875-AKge,Avana,True,ACH-000614_Avana-4_RVH421RPMI-311Cas9-RepA-p6_Avana-4
RVH421RPMI-311Cas9-RepB-p6_Avana-4,SC-002875.AV01,21,Avana-4,B,2DS,ACH-000614,MC-002875-AKge,Avana,True,ACH-000614_Avana-4_RVH421RPMI-311Cas9-RepB-p6_Avana-4
UPMD1-311cas9-RepA-p6_Avana-4,SC-002926.AV01,21,Avana-4,A,2DS,ACH-002926,MC-002926-BDYS,Avana,True,ACH-002926_Avana-4_UPMD1-311cas9-RepA-p6_Avana-4
UPMD1-311cas9-RepB-p6_Avana-4,SC-002926.AV01,21,Avana-4,B,2DS,ACH-002926,MC-002926-BDYS,Avana,True,ACH-002926_Avana-4_UPMD1-311cas9-RepB-p6_Avana-4
pDNA_batch_Avana-4,pDNA,0,Avana-4,,pDNA,pDNA,pDNA,Avana,True,pDNA_Avana-4_pDNA_batch_Avana-4
pDNA_batch_Avana-3,pDNA,0,Avana-3,,pDNA,pDNA,pDNA,Avana,True,pDNA_Avana-3_pDNA_batch_Avana-3
pDNA_batch_Avana-2,pDNA,0,Avana-2,,pDNA,pDNA,pDNA,Avana,True,pDNA_Avana-2_pDNA_batch_Avana-2
