sequence_ID,ScreenID,days,pDNA_batch,Replicate,ScreenType,cell_line_name,ModelConditionID,Library,PassesQC,replicate_ID
HEL-311Cas9_RepA_p4_Avana-3,SC-000004.AV01,21,Avana-3,A,2DS,ACH-000004,MC-000004-pA3k,Avana,True,ACH-000004_Avana-3_HEL-311Cas9_RepA_p4_Avana-3
HEL-311Cas9_RepB_p4_Avana-3,SC-000004.AV01,21,Avana-3,B,2DS,ACH-000004,MC-000004-pA3k,Avana,True,ACH-000004_Avana-3_HEL-311Cas9_RepB_p4_Avana-3
KU812-311cas9-RepA-p6_Avana-3,SC-000074.AV01,21,Avana-3,A,2DS,ACH-000074,MC-000074-OKtM,Avana,True,ACH-000074_Avana-3_KU812-311cas9-RepA-p6_Avana-3
KU812-311cas9-RepB-p6_Avana-3,SC-000074.AV01,21,Avana-3,B,2DS,ACH-000074,MC-000074-OKtM,Avana,True,ACH-000074_Avana-3_KU812-311cas9-RepB-p6_Avana-3
T47D-311Cas9-RepA-p6_Avana-4,SC-000147.AV01,21,Avana-4,A,2DS,ACH-000147,MC-000147-Uovr,Avana,True,ACH-000147_Avana-4_T47D-311Cas9-RepA-p6_Avana-4
T47D-311Cas9-RepB-p6_Avana-4,SC-000147.AV01,21,Avana-4,B,2DS,ACH-000147,MC-000147-Uovr,Avana,True,ACH-000147_Avana-4_T47D-311Cas9-RepB-p6_Avana-4
NOMO-1-311Cas9_RepA_p4_Avana-2,SC-000168.AV01,21,Avana-2,A,2DS,ACH-000168,MC-000168-L3Ll,Avana,True,ACH-000168_Avana-2_NOMO-1-311Cas9_RepA_p4_Avana-2
NOMO-1-311Cas9_RepB_p4_Avana-2,SC-000168.AV01,21,Avana-2,B,2DS,ACH-000168,MC-000168-L3Ll,Avana,True,ACH-000168_Avana-2_NOMO-1-311Cas9_RepB_p4_Avana-2
L363-311Cas9_RepA_p6_Avana-3,SC-000183.AV01,21,Avana-3,A,2DS,ACH-000183,MC-000183-k64I,Avana,True,ACH-000183_Avana-3_L363-311Cas9_RepA_p6_Avana-3
L363-311Cas9_RepB_p6_Avana-3,SC-000183.AV01,21,Avana-3,B,2DS,ACH-000183,MC-000183-k64I,Avana,True,ACH-000183_Avana-3_L363-311Cas9_RepB_p6_Avana-3
KASUMI-1-311cas9_RepA_p6_Avana-3,SC-000263.AV01,21,Avana-3,A,2DS,ACH-000263,MC-000263-MxQI,Avana,True,ACH-000263_Avana-3_KASUMI-1-311cas9_RepA_p6_Avana-3
KASUMI-1-311cas9_RepB_p6_Avana-3,SC-000263.AV01,21,Avana-3,B,2DS,ACH-000263,MC-000263-MxQI,Avana,True,ACH-000263_Avana-3_KASUMI-1-311cas9_RepB_p6_Avana-3
NCI-H841-311as9_RepA_p6_Avana-3,SC-000292.AV01,21,Avana-3,A,2DS,ACH-000292,MC-000292-Oy94,Avana,True,ACH-000292_Avana-3_NCI-H841-311as9_RepA_p6_Avana-3
NCI-H841-311as9_RepB_p6_Avana-3,SC-000292.AV01,21,Avana-3,B,2DS,ACH-000292,MC-000292-Oy94,Avana,True,ACH-000292_Avana-3_NCI-H841-311as9_RepB_p6_Avana-3
DB-311Cas9_RepA_p3_Avana-3,SC-000334.AV01,21,Avana-3,A,2DS,ACH-000334,MC-000334-r0NH,Avana,True,ACH-000334_Avana-3_DB-311Cas9_RepA_p3_Avana-3
DB-311Cas9_RepB_p3_Avana-3,SC-000334.AV01,21,Avana-3,B,2DS,ACH-000334,MC-000334-r0NH,Avana,True,ACH-000334_Avana-3_DB-311Cas9_RepB_p3_Avana-3
J82-311Cas9_RepA_p5_Avana-3,SC-000396.AV01,21,Avana-3,A,2DS,ACH-000396,MC-000396-DZtc,Avana,True,ACH-000396_Avana-3_J82-311Cas9_RepA_p5_Avana-3
J82-311Cas9_RepB_p5_Avana-3,SC-000396.AV01,21,Avana-3,B,2DS,ACH-000396,MC-000396-DZtc,Avana,False,ACH-000396_Avana-3_J82-311Cas9_RepB_p5_Avana-3
K029AX-311cas9_RepB_p6_Avana-3,SC-000404.AV01,21,Avana-3,B,2DS,ACH-000404,MC-000404-GqDy,Avana,True,ACH-000404_Avana-3_K029AX-311cas9_RepB_p6_Avana-3
U937-101Cas9 Rep A p6_Avana-3,SC-000406.AV01,21,Avana-3,A,2DS,ACH-000406,MC-000406-va7T,Avana,True,ACH-000406_Avana-3_U937-101Cas9 Rep A p6_Avana-3
U937-101Cas9 Rep C p6_Avana-3,SC-000406.AV01,21,Avana-3,C,2DS,ACH-000406,MC-000406-va7T,Avana,True,ACH-000406_Avana-3_U937-101Cas9 Rep C p6_Avana-3
U937-101Cas9 Rep D p6_Avana-3,SC-000406.AV01,21,Avana-3,D,2DS,ACH-000406,MC-000406-va7T,Avana,True,ACH-000406_Avana-3_U937-101Cas9 Rep D p6_Avana-3
NCI-H1915-311Cas9_RepA_p6_Avana-3,SC-000434.AV01,21,Avana-3,A,2DS,ACH-000434,MC-000434-8t7w,Avana,True,ACH-000434_Avana-3_NCI-H1915-311Cas9_RepA_p6_Avana-3
NCI-H1915-311Cas9_RepB_p6_Avana-3,SC-000434.AV01,21,Avana-3,B,2DS,ACH-000434,MC-000434-8t7w,Avana,True,ACH-000434_Avana-3_NCI-H1915-311Cas9_RepB_p6_Avana-3
CJM-311Cas9_RepA_p7_Avana-3,SC-000458.AV01,21,Avana-3,A,2DS,ACH-000458,MC-000458-xKvR,Avana,True,ACH-000458_Avana-3_CJM-311Cas9_RepA_p7_Avana-3
CJM-311Cas9_RepB_p7_Avana-3,SC-000458.AV01,21,Avana-3,B,2DS,ACH-000458,MC-000458-xKvR,Avana,True,ACH-000458_Avana-3_CJM-311Cas9_RepB_p7_Avana-3
KNS-81-311cas9_RepA_p5_Avana-3,SC-000479.AV01,21,Avana-3,A,2DS,ACH-000479,MC-000479-6qKr,Avana,True,ACH-000479_Avana-3_KNS-81-311cas9_RepA_p5_Avana-3
KNS-81-311cas9_RepB_p5_Avana-3,SC-000479.AV01,21,Avana-3,B,2DS,ACH-000479,MC-000479-6qKr,Avana,True,ACH-000479_Avana-3_KNS-81-311cas9_RepB_p5_Avana-3
OVISE-311cas9 Rep A p6_Avana-2,SC-000527.AV01,21,Avana-2,A,2DS,ACH-000527,MC-000527-f2HC,Avana,True,ACH-000527_Avana-2_OVISE-311cas9 Rep A p6_Avana-2
OVISE-311cas9 Rep B p6_Avana-2,SC-000527.AV01,21,Avana-2,B,2DS,ACH-000527,MC-000527-f2HC,Avana,True,ACH-000527_Avana-2_OVISE-311cas9 Rep B p6_Avana-2
OVISE-311cas9 Rep C p6_Avana-2,SC-000527.AV01,21,Avana-2,C,2DS,ACH-000527,MC-000527-f2HC,Avana,True,ACH-000527_Avana-2_OVISE-311cas9 Rep C p6_Avana-2
TE6-311cas9_RepA_p6_Avana-3,SC-000605.AV01,21,Avana-3,A,2DS,ACH-000605,MC-000605-mA6N,Avana,True,ACH-000605_Avana-3_TE6-311cas9_RepA_p6_Avana-3
TE6-311cas9_RepB_p6_Avana-3,SC-000605.AV01,21,Avana-3,B,2DS,ACH-000605,MC-000605-mA6N,Avana,True,ACH-000605_Avana-3_TE6-311cas9_RepB_p6_Avana-3
RVH421-311Cas9_RepA_p5_Avana-3,SC-000614.AV01,21,Avana-3,A,2DS,ACH-000614,MC-000614-7X1Q,Avana,True,ACH-000614_Avana-3_RVH421-311Cas9_RepA_p5_Avana-3
RVH421-311Cas9_RepB_p5_Avana-3,SC-000614.AV01,21,Avana-3,B,2DS,ACH-000614,MC-000614-7X1Q,Avana,True,ACH-000614_Avana-3_RVH421-311Cas9_RepB_p5_Avana-3
A2780-311cas9 Rep A p6_Avana-2,SC-000657.AV01,21,Avana-2,A,2DS,ACH-000657,MC-000657-vN70,Avana,True,ACH-000657_Avana-2_A2780-311cas9 Rep A p6_Avana-2
A2780-311cas9 Rep B p6_Avana-2,SC-000657.AV01,21,Avana-2,B,2DS,ACH-000657,MC-000657-vN70,Avana,True,ACH-000657_Avana-2_A2780-311cas9 Rep B p6_Avana-2
LOXIMVI-311Cas9_RepA_p6_Avana-2,SC-000750.AV01,21,Avana-2,A,2DS,ACH-000750,MC-000750-bafP,Avana,False,ACH-000750_Avana-2_LOXIMVI-311Cas9_RepA_p6_Avana-2
