sequence_ID,ScreenID,days,pDNA_batch,Replicate,ScreenType,cell_line_name,ModelConditionID,Library,PassesQC
LXF-289-311cas9 Rep B p6_Avana-3,SC-000787.AV01,21,Avana-3,B,2DS,ACH-000787,MC-000787-yzmP,Avana,True
LXF-289-311cas9 Rep C p6_Avana-3,SC-000787.AV01,21,Avana-3,C,2DS,ACH-000787,MC-000787-yzmP,Avana,True
LXF-289-311cas9 Rep D p6_Avana-3,SC-000787.AV01,21,Avana-3,D,2DS,ACH-000787,MC-000787-yzmP,Avana,True
A2058-311cas9_RepA_p6_Avana-3,SC-000788.AV01,21,Avana-3,A,2DS,ACH-000788,MC-000788-xvTl,Avana,True
A2058-311cas9_RepB_p6_Avana-3,SC-000788.AV01,21,Avana-3,B,2DS,ACH-000788,MC-000788-xvTl,Avana,True
NCI-H2286-311caa9_RepA_p6_Avana-3,SC-000912.AV01,21,Avana-3,A,2DS,ACH-000912,MC-000912-cLYP,Avana,True
NCI-H2286-311caa9_RepB_p6_Avana-3,SC-000912.AV01,21,Avana-3,B,2DS,ACH-000912,MC-000912-cLYP,Avana,True
MDST8-311Cas9 Rep A p6_Avana-3,SC-000935.AV01,21,Avana-3,A,2DS,ACH-000935,MC-000935-E55p,Avana,True
MDST8-311Cas9 Rep C p6_Avana-3,SC-000935.AV01,21,Avana-3,C,2DS,ACH-000935,MC-000935-E55p,Avana,True
MDST8-311Cas9 Rep D p6_Avana-3,SC-000935.AV01,21,Avana-3,D,2DS,ACH-000935,MC-000935-E55p,Avana,True
PF382-311CAS9_RepA_p6_Avana-3,SC-000937.AV01,21,Avana-3,A,2DS,ACH-000937,MC-000937-QPMF,Avana,True
PF382-311CAS9_RepB_p6_Avana-3,SC-000937.AV01,21,Avana-3,B,2DS,ACH-000937,MC-000937-QPMF,Avana,True
HEC265-311Cas9_RepA_p6_Avana-3,SC-000946.AV01,21,Avana-3,A,2DS,ACH-000946,MC-000946-Imv7,Avana,True
HEC265-311Cas9_RepB_p6_Avana-3,SC-000946.AV01,21,Avana-3,B,2DS,ACH-000946,MC-000946-Imv7,Avana,True
SNU407-311Cas9_RepB_p6_Avana-4,SC-000955.AV01,21,Avana-4,B,2DS,ACH-000955,MC-000955-q7cl,Avana,False
MFE-319-311Cas9_RepA_p6_Avana-3,SC-000988.AV01,21,Avana-3,A,2DS,ACH-000988,MC-000988-YnfA,Avana,True
MFE-319-311Cas9_RepB_p6_Avana-3,SC-000988.AV01,21,Avana-3,B,2DS,ACH-000988,MC-000988-YnfA,Avana,True
JHUEM7-311Cas9_RepA_p5_Avana-3,SC-000993.AV01,21,Avana-3,A,2DS,ACH-000993,MC-000993-g8KR,Avana,True
JHUEM7-311Cas9_RepB_p5_Avana-3,SC-000993.AV01,21,Avana-3,B,2DS,ACH-000993,MC-000993-g8KR,Avana,True
HEC-251-311Cas9_RepA_p5_Avana-3,SC-000996.AV01,21,Avana-3,A,2DS,ACH-000996,MC-000996-nXxW,Avana,True
HEC-251-311Cas9_RepB_p5_Avana-3,SC-000996.AV01,21,Avana-3,B,2DS,ACH-000996,MC-000996-nXxW,Avana,True
MONO-MAC1-311cas9_RepA_p6_Avana-3,SC-001129.AV01,21,Avana-3,A,2DS,ACH-001129,MC-001129-nxTf,Avana,True
MONO-MAC1-311cas9_RepB_p6_Avana-3,SC-001129.AV01,21,Avana-3,B,2DS,ACH-001129,MC-001129-nxTf,Avana,True
NB1643-311Cas9_RepA_p4_Avana-3,SC-001303.AV01,21,Avana-3,A,2DS,ACH-001303,MC-001303-7eBW,Avana,True
NB1643-311Cas9_RepB_p4_Avana-3,SC-001303.AV01,21,Avana-3,B,2DS,ACH-001303,MC-001303-7eBW,Avana,True
UMUC5-311Cas9_RepA_p6_Avana-3,SC-001411.AV01,21,Avana-3,A,2DS,ACH-001411,MC-001411-EIzh,Avana,True
UMUC5-311Cas9_RepB_p6_Avana-3,SC-001411.AV01,21,Avana-3,B,2DS,ACH-001411,MC-001411-EIzh,Avana,True
KARPAS1718-311cas9-RepA-p6_Avana-4,SC-001533.AV01,21,Avana-4,A,2DS,ACH-001533,MC-001533-SowA,Avana,True
KARPAS1718-311cas9-RepB-p6_Avana-4,SC-001533.AV01,21,Avana-4,B,2DS,ACH-001533,MC-001533-SowA,Avana,True
MEL202-311cas9_RepA_p6_Avana-3,SC-001554.AV01,21,Avana-3,A,2DS,ACH-001554,MC-001554-W5Vn,Avana,True
MEL202-311cas9_RepB_p6_Avana-3,SC-001554.AV01,21,Avana-3,B,2DS,ACH-001554,MC-001554-W5Vn,Avana,True
MM127-311cas9_RepA_p5_Avana-3,SC-001563.AV01,21,Avana-3,A,2DS,ACH-001563,MC-001563-W7yA,Avana,True
MM127-311cas9_RepB_p5_Avana-3,SC-001563.AV01,21,Avana-3,B,2DS,ACH-001563,MC-001563-W7yA,Avana,True
RAMOS-311cas9-RepA-p6_Avana-4,SC-001636.AV01,21,Avana-4,A,2DS,ACH-001636,MC-001636-mxpz,Avana,False
RAMOS-311cas9-RepB-p6_Avana-4,SC-001636.AV01,21,Avana-4,B,2DS,ACH-001636,MC-001636-mxpz,Avana,False
TGW-311Cas9-RepA-P6_Avana-4,SC-001674.AV01,21,Avana-4,A,2DS,ACH-001674,MC-001674-vHBi,Avana,True
TGW-311Cas9-RepB-P6_Avana-4,SC-001674.AV01,21,Avana-4,B,2DS,ACH-001674,MC-001674-vHBi,Avana,True
HB11;19-311CAS9_RepA_p6_Avana-3,SC-001736.AV01,21,Avana-3,A,2DS,ACH-001736,MC-001736-pJnl,Avana,True
HB11;19-311CAS9_RepB_p6_Avana-3,SC-001736.AV01,21,Avana-3,B,2DS,ACH-001736,MC-001736-pJnl,Avana,True
ICC108-311cas9-RepA-p4_Avana-3,SC-001836.AV01,21,Avana-3,A,2DS,ACH-001836,MC-001836-jYoz,Avana,True
ICC108-311cas9-RepB-p4_Avana-3,SC-001836.AV01,21,Avana-3,B,2DS,ACH-001836,MC-001836-jYoz,Avana,True
ICC2-311cas9_RepA_p6_Avana-3,SC-001842.AV01,21,Avana-3,A,2DS,ACH-001842,MC-001842-XQ3q,Avana,True
ICC2-311cas9_RepB_p6_Avana-3,SC-001842.AV01,21,Avana-3,B,2DS,ACH-001842,MC-001842-XQ3q,Avana,True
ICC3-311cas9_RepA_p6_Avana-3,SC-001843.AV01,21,Avana-3,A,2DS,ACH-001843,MC-001843-hmPS,Avana,True
ICC3-311cas9_RepB_p6_Avana-3,SC-001843.AV01,21,Avana-3,B,2DS,ACH-001843,MC-001843-hmPS,Avana,True
SAS-311cas9-RepA-p6_Avana-4,SC-002029.AV01,21,Avana-4,A,2DS,ACH-002029,MC-002029-jZk3,Avana,True
SAS-311cas9-RepB-p6_Avana-4,SC-002029.AV01,21,Avana-4,B,2DS,ACH-002029,MC-002029-jZk3,Avana,True
RVH421RPMI-311Cas9-RepA-p6_Avana-4,SC-002875.AV01,21,Avana-4,A,2DS,ACH-000614,MC-002875-AKge,Avana,True
RVH421RPMI-311Cas9-RepB-p6_Avana-4,SC-002875.AV01,21,Avana-4,B,2DS,ACH-000614,MC-002875-AKge,Avana,True
UPMD1-311cas9-RepA-p6_Avana-4,SC-002926.AV01,21,Avana-4,A,2DS,ACH-002926,MC-002926-BDYS,Avana,True
UPMD1-311cas9-RepB-p6_Avana-4,SC-002926.AV01,21,Avana-4,B,2DS,ACH-002926,MC-002926-BDYS,Avana,True
pDNA_batch_Avana-4,pDNA,0,Avana-4,,pDNA,pDNA,pDNA,Avana,True
pDNA_batch_Avana-3,pDNA,0,Avana-3,,pDNA,pDNA,pDNA,Avana,True
pDNA_batch_Avana-2,pDNA,0,Avana-2,,pDNA,pDNA,pDNA,Avana,True
