Gene
AADAC (13)
ACTL8 (81569)
AKT1 (207)
ANG (283)
APOBR (55911)
ARHGAP29 (9411)
ARHGEF6 (9459)
ATP8B2 (57198)
AXL (558)
BCL2 (596)
BTK (695)
C11orf71 (54494)
C8orf37 (157657)
CACFD1 (11094)
CBFA2T3 (863)
CCND1 (595)
CCND2 (894)
CDX2 (1045)
CEBPA (1050)
CSF2RB (1439)
DTX2 (113878)
EBF1 (1879)
EGFR (1956)
ERBB3 (2065)
ESR1 (2099)
FBRSL1 (57666)
FERMT1 (55612)
FGFR1 (2260)
FLI1 (2313)
FLT3 (2322)
FOXA1 (3169)
FOXR2 (139628)
FRAT1 (10023)
FUNDC2 (65991)
FZD8 (8325)
GATA1 (2623)
GATA2 (2624)
GATA3 (2625)
GNAI2 (2771)
GNS (2799)
GRHL2 (79977)
HERC1 (8925)
HNF1B (6928)
HNF4A (3172)
HNRNPH1 (3187)
HOXB13 (10481)
INHBC (3626)
IRF2BP2 (359948)
IRF4 (3662)
IRF8 (3394)
JUN (3725)
JUP (3728)
KLF5 (688)
KRAS (3845)
LMX1B (4010)
LYL1 (4066)
MCL1 (4170)
MDM2 (4193)
MECOM (2122)
MEF2D (4209)
MET (4233)
MPRIP (23164)
MSI2 (124540)
MYB (4602)
MYBL1 (4603)
NAV3 (89795)
NFKBIE (4794)
NKX2-1 (7080)
PARD3 (56288)
PARD6B (84612)
PASD1 (139135)
PAX8 (7849)
PEA15 (8682)
PHIP (55023)
POU2F2 (5452)
PPME1 (51400)
PRDM1 (639)
RBM47 (54502)
RELB (5971)
RHBDD1 (84236)
RUNX1 (861)
SATB2 (23314)
SLC16A11 (162515)
SOX10 (6663)
SOX4 (6659)
SOX9 (6662)
SPDEF (25803)
SPI1 (6688)
TBX2 (6909)
TBX3 (6926)
TCF4 (6925)
TCF7 (6932)
TEAD1 (7003)
TFAP2A (7020)
TFAP2C (7022)
TLE3 (7090)
TNS4 (84951)
TOX (9760)
TRIM10 (10107)
UBE2D2 (7322)
VAV1 (7409)
YAP1 (10413)
ZBTB7B (51043)
ZC4H2 (55906)
ZEB2 (9839)
ZFP36L1 (677)
