Gene
ABCG8 (64241)
ACTL7A (10881)
ACTL9 (284382)
ADAM18 (8749)
ADAM20 (8748)
ADGRG7 (84873)
AFM (173)
AIPL1 (23746)
ALPI (248)
ANKRD30A (91074)
APOA4 (337)
APOF (319)
ARGFX (503582)
ASB17 (127247)
ASZ1 (136991)
ATP4B (496)
B3GNT6 (192134)
BARHL1 (56751)
BMP10 (27302)
BPIFA3 (128861)
BPIFB6 (128859)
BRDT (676)
C10orf53 (282966)
C12orf40 (283461)
C17orf78 (284099)
C20orf173 (140873)
C8A (731)
CABP5 (56344)
CACNG2 (10369)
CACNG5 (27091)
CBLIF (2694)
CCDC83 (220047)
CCL1 (6346)
CD200R1L (344807)
CDX2 (1045)
CELA2A (63036)
CELA3B (23436)
CETN1 (1068)
CFHR5 (81494)
CHRNA6 (8973)
CLCA1 (1179)
CLEC2A (387836)
CLEC6A (93978)
CNBD1 (168975)
CNPY1 (285888)
COL20A1 (57642)
CRNN (49860)
CRYGB (1419)
CSHL1 (1444)
CSN3 (1448)
CST4 (1472)
CST8 (10047)
CST9L (128821)
CTCFL (140690)
CYLC2 (1539)
CYP11B2 (1585)
CYP2A13 (1553)
CYP4A22 (284541)
DAZL (1618)
DCANP1 (140947)
DDX4 (54514)
DEFA6 (1671)
DEFB104A (140596)
DEFB118 (117285)
DEFB126 (81623)
DEFB129 (140881)
DMP1 (1758)
DMRTB1 (63948)
DPRX (503834)
DRGX (644168)
DSG4 (147409)
DTX2 (113878)
EFCAB3 (146779)
ELOA2 (51224)
EVX1 (2128)
FABP2 (2169)
FCRL4 (83417)
FEZF2 (55079)
FGF3 (2248)
FGF6 (2251)
FLG2 (388698)
FNDC9 (408263)
FOXB2 (442425)
FOXE3 (2301)
FOXR1 (283150)
FSCB (84075)
FUT9 (10690)
GABRA1 (2554)
GALNTL5 (168391)
GALR3 (8484)
GCG (2641)
GDF2 (2658)
GFRAL (389400)
GHRH (2691)
GJA10 (84694)
GK2 (2712)
GLRA1 (2741)
GML (2765)
GPR139 (124274)
GPR151 (134391)
GPR26 (2849)
GPR32 (2854)
GPR52 (9293)
GPRC6A (222545)
GPX6 (257202)
GRM5 (2915)
GSC2 (2928)
GSX1 (219409)
GUCA2A (2980)
H2AC1 (221613)
H4C7 (8369)
HCRTR2 (3062)
HMX1 (3166)
HOXD12 (3238)
HRH3 (11255)
HTR1A (3350)
HTR3D (200909)
HTR5A (3361)
IAPP (3375)
IFNA10 (3446)
IFNA16 (3449)
IFNA2 (3440)
IFNA4 (3441)
IFNA6 (3443)
IFNA8 (3445)
IFNK (56832)
IL12B (3593)
IL17A (3605)
IL1F10 (84639)
IL22 (50616)
IL26 (55801)
IL31 (386653)
IL36B (27177)
IL9 (3578)
INSL5 (10022)
INSM2 (84684)
IQCF1 (132141)
ISX (91464)
KASH5 (147872)
KCNB2 (9312)
KCNK10 (54207)
KCNK18 (338567)
KHDC3L (154288)
KIR2DL1 (3802)
KLK12 (43849)
KRT2 (3849)
KRT26 (353288)
KRT33A (3883)
KRT36 (8689)
KRT38 (8687)
KRT71 (112802)
KRT74 (121391)
KRT76 (51350)
KRT78 (196374)
KRT84 (3890)
KRT86 (3892)
KRTAP1-1 (81851)
KRTAP10-10 (353333)
KRTAP10-12 (386685)
KRTAP10-4 (386672)
KRTAP10-6 (386674)
KRTAP10-9 (386676)
KRTAP13-1 (140258)
KRTAP13-3 (337960)
KRTAP15-1 (254950)
KRTAP19-3 (337970)
KRTAP26-1 (388818)
KRTAP4-11 (653240)
KRTAP4-2 (85291)
KRTAP4-7 (100132476)
KRTAP9-2 (83899)
KRTAP9-4 (85280)
LBX1 (10660)
LCT (3938)
LGALS14 (56891)
LHX3 (8022)
LIM2 (3982)
LORICRIN (4014)
LRIT2 (340745)
LYZL1 (84569)
MAS1 (4142)
MBD3L1 (85509)
MBL2 (4153)
MC3R (4159)
MEP1A (4224)
MEPE (56955)
MMD2 (221938)
MMP21 (118856)
MMP27 (64066)
MORC1 (27136)
MRGPRX1 (259249)
MRGPRX4 (117196)
MS4A13 (503497)
MSGN1 (343930)
MTNR1B (4544)
MUC7 (4589)
MYBPC3 (4607)
NANOGNB (360030)
NCR2 (9436)
NEUROD2 (4761)
NEUROD6 (63974)
NKX2-1 (7080)
NLRP4 (147945)
NLRP8 (126205)
NMS (129521)
NOX3 (50508)
NPHS2 (7827)
NPVF (64111)
OC90 (729330)
OLIG3 (167826)
OPN5 (221391)
