sequence_ID,ScreenID,days,pDNA_batch,Replicate,ScreenType,cell_line_name,ModelConditionID,Library,PassesQC
L363_c907R6_KY-1,SC-000183.KY01,14,KY-1,C,2DS,ACH-000183,MC-000183-QKEz,KY,True
LB771H_c908R1_KY-1,SC-002265.KY01,14,KY-1,A,2DS,ACH-002265,MC-002265-Hq0I,KY,True
LB771H_c908R2_KY-1,SC-002265.KY01,14,KY-1,B,2DS,ACH-002265,MC-002265-Hq0I,KY,True
LB771H_c908R3_KY-1,SC-002265.KY01,14,KY-1,C,2DS,ACH-002265,MC-002265-Hq0I,KY,True
LXF289_c906R1_KY-1,SC-000787.KY01,14,KY-1,A,2DS,ACH-000787,MC-000787-eQaU,KY,True
LXF289_c906R2_KY-1,SC-000787.KY01,14,KY-1,B,2DS,ACH-000787,MC-000787-eQaU,KY,True
LXF289_c906R3_KY-1,SC-000787.KY01,14,KY-1,C,2DS,ACH-000787,MC-000787-eQaU,KY,True
MDST8_c903R3_KY-2,SC-000935.KY01,14,KY-2,A,2DS,ACH-000935,MC-000935-4xuf,KY,True
MFE280_C908R1_KY-1,SC-000192.KY01,14,KY-1,A,2DS,ACH-000192,MC-000192-cA5R,KY,True
MFE280_C908R2_KY-1,SC-000192.KY01,14,KY-1,B,2DS,ACH-000192,MC-000192-cA5R,KY,True
MFE280_C908R3_KY-1,SC-000192.KY01,14,KY-1,C,2DS,ACH-000192,MC-000192-cA5R,KY,True
OVISE_c905R2_KY-1,SC-000527.KY01,14,KY-1,A,2DS,ACH-000527,MC-000527-sDUu,KY,True
OVISE_c905R3_KY-1,SC-000527.KY01,14,KY-1,B,2DS,ACH-000527,MC-000527-sDUu,KY,True
RCCFG2_C908R1_KY-1,SC-002189.KY01,14,KY-1,A,2DS,ACH-002189,MC-002189-EopU,KY,True
RCCFG2_C908R2_KY-1,SC-002189.KY01,14,KY-1,B,2DS,ACH-002189,MC-002189-EopU,KY,True
RCCFG2_C908R3_KY-1,SC-002189.KY01,14,KY-1,C,2DS,ACH-002189,MC-002189-EopU,KY,True
SAS_c907R1_KY-1,SC-002029.KY01,14,KY-1,A,2DS,ACH-002029,MC-002029-eTYU,KY,True
SAS_c907R2_KY-1,SC-002029.KY01,14,KY-1,B,2DS,ACH-002029,MC-002029-eTYU,KY,True
SAS_c907R3_KY-1,SC-002029.KY01,14,KY-1,C,2DS,ACH-002029,MC-002029-eTYU,KY,True
SKNSH_c906R1_KY-1,SC-000149.KY01,14,KY-1,A,2DS,ACH-000149,MC-000149-T5h1,KY,True
SKNSH_c906R2_KY-1,SC-000149.KY01,14,KY-1,B,2DS,ACH-000149,MC-000149-T5h1,KY,True
SKNSH_c906R3_KY-1,SC-000149.KY01,14,KY-1,C,2DS,ACH-000149,MC-000149-T5h1,KY,True
SNU81_c903R1_KY-2,SC-000991.KY01,14,KY-2,A,2DS,ACH-000991,MC-000991-vB9l,KY,True
SNU81_c903R2_KY-2,SC-000991.KY01,14,KY-2,B,2DS,ACH-000991,MC-000991-vB9l,KY,True
SNU81_c903R3_KY-2,SC-000991.KY01,14,KY-2,C,2DS,ACH-000991,MC-000991-vB9l,KY,True
SW48_C902R1_P1D14_KY-2,SC-000958.KY01,14,KY-2,A,2DS,ACH-000958,MC-000958-mNiZ,KY,True
SW48_C902R2_P1D14_KY-2,SC-000958.KY01,14,KY-2,B,2DS,ACH-000958,MC-000958-mNiZ,KY,True
SW48_C902R3_P1D14_KY-2,SC-000958.KY01,14,KY-2,C,2DS,ACH-000958,MC-000958-mNiZ,KY,True
T47d_c903R2_KY-2,SC-000147.KY01,14,KY-2,A,2DS,ACH-000147,MC-000147-L6rc,KY,True
T47d_c903R3_KY-2,SC-000147.KY01,14,KY-2,B,2DS,ACH-000147,MC-000147-L6rc,KY,True
pDNA_batch_KY-1,pDNA,0,KY-1,,pDNA,pDNA,pDNA,KY,True
pDNA_batch_KY-2,pDNA,0,KY-2,,pDNA,pDNA,pDNA,KY,True
