sequence_ID,ScreenID,days,pDNA_batch,Replicate,ScreenType,cell_line_name,ModelConditionID,Library,PassesQC
A2058_c903R1_KY-2,SC-000788.KY01,14,KY-2,A,2DS,ACH-000788,MC-000788-UK2d,KY,True
A2058_c903R2_KY-2,SC-000788.KY01,14,KY-2,B,2DS,ACH-000788,MC-000788-UK2d,KY,True
A2058_c903R3_KY-2,SC-000788.KY01,14,KY-2,C,2DS,ACH-000788,MC-000788-UK2d,KY,True
A2780_c905R1_KY-1,SC-000657.KY01,14,KY-1,A,2DS,ACH-000657,MC-000657-ERaD,KY,True
A2780_c905R2_KY-1,SC-000657.KY01,14,KY-1,B,2DS,ACH-000657,MC-000657-ERaD,KY,True
ESS1_C908R2_KY-1,SC-000913.KY01,14,KY-1,A,2DS,ACH-000913,MC-000913-mRWp,KY,True
ESS1_C908R3_KY-1,SC-000913.KY01,14,KY-1,B,2DS,ACH-000913,MC-000913-mRWp,KY,True
H1915_c906R1_KY-1,SC-000434.KY01,14,KY-1,A,2DS,ACH-000434,MC-000434-JJXr,KY,True
H1915_c906R2_KY-1,SC-000434.KY01,14,KY-1,B,2DS,ACH-000434,MC-000434-JJXr,KY,True
H1915_c906R3_KY-1,SC-000434.KY01,14,KY-1,C,2DS,ACH-000434,MC-000434-JJXr,KY,True
H2087_c906R1_KY-1,SC-000841.KY01,14,KY-1,A,2DS,ACH-000841,MC-000841-gQHi,KY,True
H2087_c906R2_KY-1,SC-000841.KY01,14,KY-1,B,2DS,ACH-000841,MC-000841-gQHi,KY,True
H2087_c906R3_KY-1,SC-000841.KY01,14,KY-1,C,2DS,ACH-000841,MC-000841-gQHi,KY,True
HCC299_c903R1_KY-2,SC-001081.KY01,14,KY-2,A,2DS,ACH-001081,MC-001081-EiKC,KY,True
HCC299_c903R2_KY-2,SC-001081.KY01,14,KY-2,B,2DS,ACH-001081,MC-001081-EiKC,KY,True
HCC299_c903R3_KY-2,SC-001081.KY01,14,KY-2,C,2DS,ACH-001081,MC-001081-EiKC,KY,True
HEC1_c907R1_KY-1,SC-001517.KY01,14,KY-1,A,2DS,ACH-001517,MC-001517-TVRG,KY,True
HEC1_c907R2_KY-1,SC-001517.KY01,14,KY-1,B,2DS,ACH-001517,MC-001517-TVRG,KY,True
HEC1_c907R3_KY-1,SC-001517.KY01,14,KY-1,C,2DS,ACH-001517,MC-001517-TVRG,KY,True
KM12_c908R1_100_KY-1,SC-000969.KY01,14,KY-1,A,2DS,ACH-000969,MC-000969-8Uk9,KY,True
KM12_c908R2_100_KY-1,SC-000969.KY01,14,KY-1,B,2DS,ACH-000969,MC-000969-8Uk9,KY,True
KM12_c908R3_100_KY-1,SC-000969.KY01,14,KY-1,C,2DS,ACH-000969,MC-000969-8Uk9,KY,True
KMS11_c907R1_KY-1,SC-000714.KY01,14,KY-1,A,2DS,ACH-000714,MC-000714-Ep4x,KY,True
KMS11_c907R2_KY-1,SC-000714.KY01,14,KY-1,B,2DS,ACH-000714,MC-000714-Ep4x,KY,True
KMS11_c907R3_KY-1,SC-000714.KY01,14,KY-1,C,2DS,ACH-000714,MC-000714-Ep4x,KY,True
KYSE15_c907R1_KY-1,SC-000855.KY01,14,KY-1,A,2DS,ACH-000855,MC-000855-P9gt,KY,True
KYSE15_c907R2_KY-1,SC-000855.KY01,14,KY-1,B,2DS,ACH-000855,MC-000855-P9gt,KY,True
KYSE15_c907R3_KY-1,SC-000855.KY01,14,KY-1,C,2DS,ACH-000855,MC-000855-P9gt,KY,True
KYSE70_c907R1_KY-1,SC-000784.KY01,14,KY-1,A,2DS,ACH-000784,MC-000784-ayo7,KY,True
KYSE70_c907R2_KY-1,SC-000784.KY01,14,KY-1,B,2DS,ACH-000784,MC-000784-ayo7,KY,True
KYSE70_c907R3_KY-1,SC-000784.KY01,14,KY-1,C,2DS,ACH-000784,MC-000784-ayo7,KY,True
L363_c907R4_KY-1,SC-000183.KY01,14,KY-1,A,2DS,ACH-000183,MC-000183-QKEz,KY,True
L363_c907R5_KY-1,SC-000183.KY01,14,KY-1,B,2DS,ACH-000183,MC-000183-QKEz,KY,True
